t,chi_hhi_star,lambda2,total_weight,load_cv
248.0,7.664388990981327e-07,0.7990836802461129,153.49914949880352,6.965228080709305e-05
250.0,7.721996134027471e-07,0.7990541520328858,153.49840073544908,7.059965754921733e-05
252.0,7.780959669618442e-07,0.7990239666750792,153.4976344477393,7.157483579518793e-05
254.0,7.841322474578285e-07,0.7989931025660398,153.49685008697676,7.257889416451157e-05
256.0,7.903129330083806e-07,0.7989615371345408,153.49604708029884,7.361296626592244e-05
258.0,7.966427028243243e-07,0.7989292467904222,153.49522482933764,7.467824414341313e-05
260.0,8.031264485960273e-07,0.7988962068665153,153.49438270878872,7.57759819803745e-05
262.0,8.097692866680009e-07,0.7988623915565436,153.4935200648819,7.690750008468646e-05
264.0,8.165765710653739e-07,0.7988277738486761,153.4926362137458,7.807418917934958e-05
266.0,8.235539074433172e-07,0.7987923254543732,153.4917304396579,7.927751502613752e-05
268.0,8.30707168037193e-07,0.7987560167321301,153.49080199316984,8.05190234124512e-05
270.0,8.380425076974703e-07,0.7987188166056889,153.4898500890983,8.18003455342968e-05
272.0,8.455663811034871e-07,0.7986806924762391,153.4888739043695,8.312320381272008e-05
274.0,8.532855612584141e-07,0.7986416101280924,153.4878725757046,8.448941818389825e-05
276.0,8.612071593783568e-07,0.7986015336272553,153.48684519713285,8.590091290793963e-05
278.0,8.69338646300053e-07,0.7985604252122662,153.485790817316,8.735972394667477e-05
280.0,8.77687875544962e-07,0.7985182451766031,153.48470843666865,8.886800696565391e-05
282.0,8.862631081912152e-07,0.7984749517418914,153.48359700425442,9.042804602203225e-05
284.0,8.95073039721894e-07,0.7984305009210607,153.4824554144384,9.20422630069791e-05
286.0,9.041268290351156e-07,0.7983848463705089,153.48128250327295,9.371322791921852e-05
288.0,9.134341298235783e-07,0.7983379392302314,153.4800770445911,9.544367005518511e-05
290.0,9.230051245519474e-07,0.798289727950755,153.47883774578057,9.723649021108284e-05
292.0,9.328505612879477e-07,0.7982401581055886,153.47756324320594,9.909477400403458e-05
294.0,9.429817936713869e-07,0.7981891721877584,153.47625209724583,0.00010102180643198416
296.0,9.534108243387816e-07,0.7981367093888265,153.47490278690552,0.00010302108780736589
298.0,9.641503521575552e-07,0.7980827053586156,153.47351370396223,0.00010509635121543431
300.0,9.75213823667408e-07,0.7980270919436371,153.47208314659508,0.00010725158166849587
302.0,9.866154891735835e-07,0.7979697969019928,153.4706093124458,0.00010949103714813514
304.0,9.983704639919717e-07,0.7979107435922468,153.46909029104955,0.0001118192717533293
306.0,1.0104947954076416e-06,0.7978498506334504,153.4675240555682,0.00011424116120090375
308.0,1.0230055359815823e-06,0.7977870315331476,153.4659084537494,0.00011676193095798852
