t,chi_hhi_star,lambda2,total_weight,load_cv
472.0,2.7471778543246877e-06,0.7844908320274464,204.1823454205201,0.0009908074087167163
474.0,2.926946850050009e-06,0.7833301701540565,204.14433587140581,0.00110182372718744
476.0,3.1354168801082465e-06,0.781999088100084,204.10061767199483,0.001233947690611263
478.0,3.3801011020137173e-06,0.78045764902642,204.049785631082,0.0013929375442924483
480.0,3.6713222519732974e-06,0.7786526076899158,203.98994129835523,0.0015866606385543523
482.0,4.023618420082022e-06,0.776511470474044,203.9184620927984,0.0018260942911696493
484.0,4.458058224797934e-06,0.7739331258033072,203.83163142667132,0.002126928422015831
486.0,5.006211944359116e-06,0.770772536856073,203.7240243310109,0.0025122215365000434
488.0,5.717295591609027e-06,0.7668146943590658,203.587443320244,0.0030169801721853305
490.0,6.671771620406212e-06,0.7617281257441454,203.40898257712726,0.0036964260574189425
492.0,8.009070282312179e-06,0.7549770742622192,203.16729570995417,0.0046417437054683385
494.0,9.989024760299782e-06,0.7456439069841702,202.82488099374774,0.0060120272538618175
496.0,1.3143041661530919e-05,0.7320390679396432,202.31073254062196,0.008104046065709424
498.0,1.8699223084494716e-05,0.7107561616588955,201.47713162450634,0.01151796102595407
500.0,3.0004275703279186e-05,0.6741592958411361,199.97824389686673,0.017586468206454764
502.0,5.847700420324946e-05,0.6041138370715654,196.88448067853545,0.029537300568889462
504.0,0.00015602756826995446,0.4681135456931807,189.43822201715764,0.05492258208032519
506.0,0.0006157931323468365,0.274089740063174,171.48360411488574,0.10040205785038918
508.0,0.002706084828780015,0.10089115201930858,144.85788536415464,0.1390051330058226
510.0,0.009076271594654083,0.02490784989557798,122.69997336385595,0.14836521884394294
512.0,0.023011679596509488,0.005090513517814884,105.44629296082175,0.1501285178203921
514.0,0.055414437753782936,0.0005400684192231485,95.0545299811441,0.23388865052991414
516.0,0.12396343390650116,2.9088820183587547e-05,92.94927876405119,0.32887270304040606
518.0,0.24755388349431695,1.3034483753535172e-06,101.62241266739468,0.38148922027731513
520.0,0.4197147248505845,4.938741632825136e-08,118.84333929662981,0.3528338940784581
522.0,0.5612434800712567,1.638592156103742e-09,143.18720293839223,0.27744232810468933
524.0,0.6526677542088608,5.454480443844933e-11,160.89254561342415,0.2605351949967211
526.0,0.7153864694852244,1.9520615861063652e-12,163.53630897579407,0.32731890623191806
528.0,0.7571779208155982,7.619087934133751e-14,150.32705693084978,0.4743323905905791
530.0,0.7751630526248272,3.2297959839320323e-15,130.68740047304252,0.663418349415388
532.0,0.7828712006332917,2.563518105223672e-16,116.94872834788893,0.812214062854738
534.0,0.7845919294338631,3.6970786177906365e-16,102.71993440068832,0.9560490867555392
536.0,0.784360284071161,7.084027055410397e-17,93.85288533413762,1.066391156994474
538.0,0.784213039097128,-2.017155222534749e-18,89.75981518179441,1.12116010478325
540.0,0.7841315928303255,-2.0475615386653608e-16,87.55632118332386,1.1526822877676726
542.0,0.783966154439316,-2.2013884387931765e-16,87.19714765499053,1.1601854969175507
544.0,0.783009029944195,-4.1294185639782565e-16,87.10950633093367,1.1612127560509449
546.0,0.7790865181858083,-3.6719587601763987e-16,86.93195390123867,1.1617436595245936
548.0,0.7691450355594712,-3.747705384748045e-16,86.75165066476751,1.162589054673716
550.0,0.7329646472871103,-4.760680429572788e-16,87.00128472973043,1.1614834842514066
552.0,0.6566405525262587,-4.378023469580537e-16,87.05816600631502,1.1613922369584293
554.0,0.5412154815790425,-7.228849158246386e-16,86.51155914149345,1.1629832509211382
556.0,0.4303897077500006,-3.739262847777234e-16,85.40158833004662,1.1773871776649163
558.0,0.34876933475268923,-4.358662732108075e-16,85.51349883977014,1.1796562240202857
560.0,0.2834819400266503,-5.043425190415028e-16,85.57670591205127,1.1799926222208945
562.0,0.24544985895124083,-5.006405547836407e-16,84.81316141548284,1.1846195693318171
564.0,0.2282687193978324,-4.2936680012908683e-16,84.09354478401184,1.1970096953103206
566.0,0.22051438993610334,-5.972333682579611e-16,84.01219432980096,1.198912084739951
568.0,0.2192252286240662,-6.31881486727643e-16,84.00164159700071,1.1991663713925795
570.0,0.21917583369023608,-5.683859781017044e-16,84.00022194384664,1.1992007134623586
572.0,0.21917319275049701,-7.187411155661166e-16,84.00003000423953,1.1992053596047987
574.0,0.21916123757387307,-7.548077607956768e-16,84.00000404666625,1.199205988271611
576.0,0.21907388063788377,-4.66302066066729e-16,84.00000054084174,1.1992060733090062
578.0,0.21847145137061846,-5.877106955830451e-16,84.00000006957077,1.1992060847982569
580.0,0.21560094772830882,-5.659619232428804e-16,84.0000000072245,1.1992060863444851
