protocol,alpha,N,amplitude_value,amplitude_label,run_count,seed_list,chi_final_mean,chi_final_std,chi_final_min,chi_final_max,lambda2_final_mean,lambda2_final_std,lambda2_final_min,lambda2_final_max
absolute,1.8,256,0.0003,etaabs_3em04,5,"101,102,103,104,105",0.18547766978299104,0.020546491503667767,0.1666538508854003,0.21959584153487424,0.0,0.0,0.0,0.0
absolute,1.8,256,0.001,etaabs_1em03,5,"101,102,103,104,105",0.20900744340497945,0.036594282807708024,0.18430118110189161,0.2725378321843482,0.0,0.0,0.0,0.0
absolute,1.8,256,0.003,etaabs_3em03,5,"101,102,103,104,105",0.18430118110189161,0.020797578109865465,0.1666538508854003,0.21959584153487427,0.0,0.0,0.0,0.0
relative,1.74,64,0.05,etarel_c0p05,5,"101,102,103,104,105",0.18392137096720126,0.06210328904132916,0.12676411290283962,0.26965725806374374,0.0,0.0,0.0,0.0
relative,1.74,64,0.1,etarel_c0p10,5,"101,102,103,104,105",0.15534274193502043,0.04260250481313689,0.12676411290283962,0.2220262096767757,0.0,0.0,0.0,0.0
relative,1.74,64,0.2,etarel_c0p20,5,"101,102,103,104,105",0.1839213709672013,0.03985099420728652,0.12676411290283962,0.22202620967677572,0.0,0.0,0.0,0.0
relative,1.74,64,0.5,etarel_c0p50,5,"101,102,103,104,105",0.16963205645111085,0.03532413089862128,0.12676411290283962,0.22202620967677572,0.0,0.0,0.0,0.0
relative,1.74,64,1.0,etarel_c1p00,5,"101,102,103,104,105",0.19344758064459489,0.04260250481313691,0.12676411290283962,0.22202620967677572,0.0,0.0,0.0,0.0
relative,1.74,128,0.05,etarel_c0p05,5,"101,102,103,104,105",0.18551393856279094,0.05697767530052092,0.11018105158698238,0.26373387896751976,0.0,0.0,0.0,0.0
relative,1.74,128,0.1,etarel_c0p10,5,"101,102,103,104,105",0.2282986111104727,0.028932775049537104,0.20467509920577462,0.27554563491986883,0.0,0.0,0.0,0.0
relative,1.74,128,0.2,etarel_c0p20,5,"101,102,103,104,105",0.1905009920629558,0.03678750485117428,0.14561631944402947,0.22829861111047267,0.0,0.0,0.0,0.0
relative,1.74,128,0.5,etarel_c0p50,5,"101,102,103,104,105",0.1975880456343652,0.03080129112568819,0.15742807539637851,0.22829861111047267,0.0,0.0,0.0,0.0
relative,1.74,128,1.0,etarel_c1p00,5,"101,102,103,104,105",0.19286334325342558,0.055402046270086096,0.1338045634916804,0.2519221230151707,0.0,0.0,0.0,0.0
relative,1.74,256,0.05,etarel_c0p05,5,"101,102,103,104,105",0.21253690944823384,0.024396188538467072,0.18430118110185345,0.24312561515681258,0.0,0.0,0.0,0.0
relative,1.74,256,0.1,etarel_c0p10,5,"101,102,103,104,105",0.20077202263724203,0.027084803430704116,0.17253629429086165,0.24312561515681258,0.0,0.0,0.0,0.0
relative,1.74,256,0.2,etarel_c0p20,5,"101,102,103,104,105",0.21018393208603547,0.04002655870035953,0.15488896407437389,0.26665538877879624,0.0,0.0,0.0,0.0
relative,1.74,256,0.5,etarel_c0p50,5,"101,102,103,104,105",0.2078309547238371,0.013795552627703715,0.19606606791284528,0.22547828494032485,0.0,0.0,0.0,0.0
relative,1.74,256,1.0,etarel_c1p00,5,"101,102,103,104,105",0.19253660186954774,0.017450147153705863,0.16665385088536572,0.2078309547238371,0.0,0.0,0.0,0.0
relative,1.8,64,0.05,etarel_c0p05,5,"101,102,103,104,105",0.1743951612898463,0.05833588223095556,0.1267641129028686,0.2696572580638017,0.0,0.0,0.0,0.0
relative,1.8,64,0.1,etarel_c0p10,5,"101,102,103,104,105",0.1553427419350552,0.04260250481314552,0.1267641129028686,0.22202620967682396,0.0,0.0,0.0,0.0
relative,1.8,64,0.2,etarel_c0p20,5,"101,102,103,104,105",0.18392137096724184,0.0398509942072946,0.1267641129028686,0.22202620967682402,0.0,0.0,0.0,0.0
relative,1.8,64,0.5,etarel_c0p50,5,"101,102,103,104,105",0.18392137096724184,0.04938492207370391,0.1267641129028686,0.24584173387031286,0.0,0.0,0.0,0.0
relative,1.8,64,1.0,etarel_c1p00,5,"101,102,103,104,105",0.1886844758059396,0.039850994207294606,0.1267641129028686,0.22202620967682402,0.0,0.0,0.0,0.0
relative,1.8,128,0.05,etarel_c0p05,5,"101,102,103,104,105",0.1926009030457357,0.048704652876677246,0.13380456349170916,0.2519221230152234,0.0,0.0,0.0,0.0
relative,1.8,128,0.1,etarel_c0p10,5,"101,102,103,104,105",0.22829861111052055,0.028932775049542954,0.2046750992058177,0.27554563491992623,0.0,0.0,0.0,0.0
relative,1.8,128,0.2,etarel_c0p20,5,"101,102,103,104,105",0.18577628968205542,0.04225902278895288,0.13380456349170916,0.22829861111052055,0.0,0.0,0.0,0.0
relative,1.8,128,0.5,etarel_c0p50,5,"101,102,103,104,105",0.19286334325346627,0.032347825894243946,0.15742807539641201,0.24011036706287198,0.0,0.0,0.0,0.0
relative,1.8,128,1.0,etarel_c1p00,5,"101,102,103,104,105",0.190500992062996,0.04826948895442219,0.13380456349170916,0.24011036706287198,0.0,0.0,0.0,0.0
relative,1.8,256,0.05,etarel_c0p05,5,"101,102,103,104,105",0.21018393208607888,0.02104566932557901,0.18430118110189164,0.23136072834586846,0.0,0.0,0.0,0.0
relative,1.8,256,0.1,etarel_c0p10,5,"101,102,103,104,105",0.19136011318848814,0.02439618853847203,0.1725362942908974,0.23136072834586846,0.0,0.0,0.0,0.0
relative,1.8,256,0.2,etarel_c0p20,5,"101,102,103,104,105",0.2043014886805818,0.041926596967544597,0.1548889640744061,0.2666553887788511,0.0,0.0,0.0,0.0
relative,1.8,256,0.5,etarel_c0p50,5,"101,102,103,104,105",0.21018393208607888,0.028394597580522585,0.17253629429089742,0.24900805856235977,0.0,0.0,0.0,0.0
relative,1.8,256,1.0,etarel_c1p00,5,"101,102,103,104,105",0.19606606791288583,0.019948336141570266,0.1666538508854003,0.21959584153487427,0.0,0.0,0.0,0.0
