protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem,t_max,chi_final,chi_peak,t_peak,reached_onset_0p1,t_onset_0p1,not_reached_0p1,reached_onset_0p4,t_onset_0p4,not_reached_0p4
absolute,1.8,256,103,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N256_seed103_etaabs_3em04,600.0,0.1725362942908974,0.8233895073305821,109.5,True,83.5,False,True,86.5,False
absolute,1.8,256,103,0.001,etaabs_1em03,0.001,absolute_a1p80_N256_seed103_etaabs_1em03,600.0,0.19018362450738874,0.7994357350014036,55.0,True,28.0,False,True,30.5,False
absolute,1.8,256,103,0.003,etaabs_3em03,0.003,absolute_a1p80_N256_seed103_etaabs_3em03,600.0,0.1725362942908974,0.817916416959913,36.5,True,12.5,False,True,15.0,False
absolute,1.8,256,104,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N256_seed104_etaabs_1em04,600.0,0.18430118110189164,0.7920120256018286,253.0,True,234.5,False,True,237.5,False
absolute,1.8,256,104,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N256_seed104_etaabs_3em04,600.0,0.1666538508854003,0.8137894384160351,108.0,True,82.0,False,True,85.0,False
absolute,1.8,256,104,0.001,etaabs_1em03,0.001,absolute_a1p80_N256_seed104_etaabs_1em03,600.0,0.2725378321843482,0.7186498472834945,52.5,True,28.0,False,True,30.0,False
absolute,1.8,256,104,0.003,etaabs_3em03,0.003,absolute_a1p80_N256_seed104_etaabs_3em03,600.0,0.18430118110189161,0.800639647845016,35.0,True,12.5,False,True,15.0,False
absolute,1.8,256,105,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N256_seed105_etaabs_1em04,600.0,0.19606606791288583,0.8000769016787834,260.0,True,239.0,False,True,242.5,False
absolute,1.8,256,105,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N256_seed105_etaabs_3em04,600.0,0.18430118110189164,0.7909926377486788,104.5,True,83.0,False,True,86.0,False
absolute,1.8,256,105,0.001,etaabs_1em03,0.001,absolute_a1p80_N256_seed105_etaabs_1em03,600.0,0.20783095472388002,0.7875566015113324,53.0,True,27.5,False,True,30.0,False
absolute,1.8,256,105,0.003,etaabs_3em03,0.003,absolute_a1p80_N256_seed105_etaabs_3em03,600.0,0.1666538508854003,0.8190110460788413,37.0,True,12.5,False,True,14.5,False
