protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem
relative,1.8,128,102,0.1,etarel_c0p10,0.0006299212598425198,relative_a1p80_N128_seed102_etarel_c0p10
relative,1.8,128,102,0.2,etarel_c0p20,0.0012598425196850395,relative_a1p80_N128_seed102_etarel_c0p20
relative,1.8,128,102,0.5,etarel_c0p50,0.003149606299212599,relative_a1p80_N128_seed102_etarel_c0p50
relative,1.8,128,102,1.0,etarel_c1p00,0.006299212598425198,relative_a1p80_N128_seed102_etarel_c1p00
relative,1.8,128,103,0.05,etarel_c0p05,0.0003149606299212599,relative_a1p80_N128_seed103_etarel_c0p05
relative,1.8,128,103,0.1,etarel_c0p10,0.0006299212598425198,relative_a1p80_N128_seed103_etarel_c0p10
relative,1.8,128,103,0.2,etarel_c0p20,0.0012598425196850395,relative_a1p80_N128_seed103_etarel_c0p20
relative,1.8,128,103,0.5,etarel_c0p50,0.003149606299212599,relative_a1p80_N128_seed103_etarel_c0p50
relative,1.8,128,103,1.0,etarel_c1p00,0.006299212598425198,relative_a1p80_N128_seed103_etarel_c1p00
relative,1.8,128,104,0.05,etarel_c0p05,0.0003149606299212599,relative_a1p80_N128_seed104_etarel_c0p05
relative,1.8,128,104,0.1,etarel_c0p10,0.0006299212598425198,relative_a1p80_N128_seed104_etarel_c0p10
relative,1.8,128,104,0.2,etarel_c0p20,0.0012598425196850395,relative_a1p80_N128_seed104_etarel_c0p20
relative,1.8,128,104,0.5,etarel_c0p50,0.003149606299212599,relative_a1p80_N128_seed104_etarel_c0p50
relative,1.8,128,104,1.0,etarel_c1p00,0.006299212598425198,relative_a1p80_N128_seed104_etarel_c1p00
relative,1.8,128,105,0.05,etarel_c0p05,0.0003149606299212599,relative_a1p80_N128_seed105_etarel_c0p05
relative,1.8,128,105,0.1,etarel_c0p10,0.0006299212598425198,relative_a1p80_N128_seed105_etarel_c0p10
relative,1.8,128,105,0.2,etarel_c0p20,0.0012598425196850395,relative_a1p80_N128_seed105_etarel_c0p20
relative,1.8,128,105,0.5,etarel_c0p50,0.003149606299212599,relative_a1p80_N128_seed105_etarel_c0p50
relative,1.8,128,105,1.0,etarel_c1p00,0.006299212598425198,relative_a1p80_N128_seed105_etarel_c1p00
relative,1.8,256,101,0.05,etarel_c0p05,0.00015686274509803925,relative_a1p80_N256_seed101_etarel_c0p05
relative,1.8,256,101,0.1,etarel_c0p10,0.0003137254901960785,relative_a1p80_N256_seed101_etarel_c0p10
relative,1.8,256,101,0.2,etarel_c0p20,0.000627450980392157,relative_a1p80_N256_seed101_etarel_c0p20
